Year,Material,Tons
1/1/2008,Gold,-0.000000
1/1/2008,Graphite,-0.000000
1/1/2008,Hafnium,0.000047
1/1/2008,Helium,-0.000000
1/1/2008,Holmium (REE),-0.000000
1/1/2008,Indium,0.000136
1/1/2008,Iridium,-0.000000
1/1/2008,Iron,446.353925
1/1/2008,Lanthanum (REE),-0.000000
1/1/2008,Lead,1.112189
1/1/2008,Lithium,0.046293
1/1/2008,Lutetium (REE),-0.000000
1/1/2008,Magnesium,0.114620
1/1/2008,Manganese,16.391385
1/1/2008,Molybdenum,11.099531
1/1/2008,Neodymium (REE),0.006628
1/1/2008,Nickel,42.017267
1/1/2008,Niobium,2.207219
1/1/2008,Palladium,-0.000000
1/1/2008,Phosphate rock,-0.000000
1/1/2008,Phosphorus,-0.000000
1/1/2008,Platinum,-0.000000
1/1/2008,Praseodymium (REE),0.003294
1/1/2008,Rhenium,-0.000000
1/1/2008,Rhodium,-0.000000
1/1/2008,Ruthenium,-0.000000
1/1/2008,Samarium (REE),-0.000000
1/1/2008,Scandium (REE),-0.000000
1/1/2008,Selenium,0.000406
1/1/2008,Silicon,17.575476
1/1/2008,Silver,0.067138
1/1/2008,Steel,20820.250801
1/1/2008,Tantalum,-0.000043
1/1/2008,Tellurium,0.000142
1/1/2008,Terbium (REE),0.001096
1/1/2008,Thulium,-0.000000
1/1/2008,Tin,8.286305
1/1/2008,Titanium,-0.000000
1/1/2008,Tungsten,0.004132
1/1/2008,Vanadium,0.098732
1/1/2008,Yetterbium (REE),-0.000000
1/1/2008,Yttrium (REE),-0.000000
1/1/2008,Zinc,271.835550
1/1/2008,Zirconium,0.001464
1/1/2009,Aluminum,513.139823
1/1/2009,Antimony,-0.000000
1/1/2009,Arsenic,-0.000000
1/1/2009,Baryte,-0.000000
1/1/2009,Beryllium,-0.000000
1/1/2009,Bismuth,-0.000000
1/1/2009,Borate,-0.000000
1/1/2009,Boron,0.001771
1/1/2009,Cadmium,-0.097883
1/1/2009,Cerium (REE),-0.000000
