Technology, Material, Tech Intensity
Nuclear,Rhodium,0.000000
Nuclear,Ruthenium,0.000000
Nuclear,Samarium (REE),0.000000
Nuclear,Scandium (REE),0.000000
Nuclear,Selenium,0.000000
Nuclear,Silicon,0.000000
Nuclear,Silver,8.000000
Nuclear,Steel,468600.000000
Nuclear,Tantalum,0.000000
Nuclear,Tellurium,0.000000
Nuclear,Terbium (REE),0.000000
Nuclear,Thulium,0.000000
Nuclear,Tin,5.000000
Nuclear,Titanium,0.000000
Nuclear,Tungsten,5.000000
Nuclear,Vanadium,1.000000
Nuclear,Yetterbium (REE),0.000000
Nuclear,Yttrium (REE),1.000000
Nuclear,Zinc,0.000000
Nuclear,Zirconium,31.000000
BiomassAndWaste,Aluminum,3900.000000
BiomassAndWaste,Antimony,0.000000
BiomassAndWaste,Arsenic,0.000000
BiomassAndWaste,Baryte,0.000000
BiomassAndWaste,Beryllium,0.000000
BiomassAndWaste,Bismuth,0.000000
BiomassAndWaste,Borate,0.000000
BiomassAndWaste,Boron,0.000000
BiomassAndWaste,Cadmium,0.000000
BiomassAndWaste,Cerium (REE),0.000000
BiomassAndWaste,Chromium,2.000000
BiomassAndWaste,Cobalt,2.000000
BiomassAndWaste,Copper,2270.000000
BiomassAndWaste,Dysprosium (REE),0.000000
BiomassAndWaste,Erbium (REE),0.000000
BiomassAndWaste,Europium (REE),0.000000
BiomassAndWaste,Fluorspar,0.000000
BiomassAndWaste,Gadolinium (REE),0.000000
BiomassAndWaste,Gallium,0.000000
BiomassAndWaste,Germanium,0.000000
BiomassAndWaste,Gold,0.000000
BiomassAndWaste,Graphite,0.000000
BiomassAndWaste,Hafnium,0.000000
BiomassAndWaste,Helium,0.000000
BiomassAndWaste,Holmium (REE),0.000000
BiomassAndWaste,Indium,0.000000
BiomassAndWaste,Iridium,0.000000
BiomassAndWaste,Iron,0.000000
BiomassAndWaste,Lanthanum (REE),0.000000
BiomassAndWaste,Lead,104.000000
BiomassAndWaste,Lithium,0.000000
BiomassAndWaste,Lutetium (REE),0.000000
BiomassAndWaste,Magnesium,0.000000
BiomassAndWaste,Manganese,0.000000
BiomassAndWaste,Molybdenum,0.000000
BiomassAndWaste,Neodymium (REE),0.000000
BiomassAndWaste,Nickel,20.000000
BiomassAndWaste,Niobium,0.000000
BiomassAndWaste,Palladium,0.000000
BiomassAndWaste,Phosphate rock,0.000000
BiomassAndWaste,Phosphorus,0.000000
BiomassAndWaste,Platinum,0.000000
BiomassAndWaste,Praseodymium (REE),0.000000
BiomassAndWaste,Rhenium,0.000000
BiomassAndWaste,Rhodium,0.000000
BiomassAndWaste,Ruthenium,0.000000
BiomassAndWaste,Samarium (REE),0.000000
BiomassAndWaste,Scandium (REE),0.000000
BiomassAndWaste,Selenium,0.000000
BiomassAndWaste,Silicon,0.000000
BiomassAndWaste,Silver,0.000000
BiomassAndWaste,Steel,138000.000000
BiomassAndWaste,Tantalum,0.000000
BiomassAndWaste,Tellurium,0.000000
BiomassAndWaste,Terbium (REE),0.000000
BiomassAndWaste,Thulium,0.000000
BiomassAndWaste,Tin,0.000000
BiomassAndWaste,Titanium,0.000000
BiomassAndWaste,Tungsten,0.000000
BiomassAndWaste,Vanadium,0.000000
BiomassAndWaste,Yetterbium (REE),0.000000
BiomassAndWaste,Yttrium (REE),0.000000
BiomassAndWaste,Zinc,160.000000
BiomassAndWaste,Zirconium,0.000000
BiomassCCS,Aluminum,3900.000000
BiomassCCS,Antimony,0.000000
BiomassCCS,Arsenic,0.000000
BiomassCCS,Baryte,0.000000
BiomassCCS,Beryllium,0.000000
BiomassCCS,Bismuth,0.000000
BiomassCCS,Borate,0.000000
BiomassCCS,Boron,0.000000
BiomassCCS,Cadmium,0.000000
BiomassCCS,Cerium (REE),0.000000
BiomassCCS,Chromium,328.000000
BiomassCCS,Cobalt,10.000000
BiomassCCS,Copper,2962.000000
BiomassCCS,Dysprosium (REE),0.000000
BiomassCCS,Erbium (REE),0.000000
BiomassCCS,Europium (REE),0.000000
BiomassCCS,Fluorspar,0.000000
BiomassCCS,Gadolinium (REE),0.000000
BiomassCCS,Gallium,0.000000
BiomassCCS,Germanium,0.000000
BiomassCCS,Gold,0.000000
BiomassCCS,Graphite,0.000000
BiomassCCS,Hafnium,0.000000
BiomassCCS,Helium,0.000000
BiomassCCS,Holmium (REE),0.000000
BiomassCCS,Indium,0.000000
BiomassCCS,Iridium,0.000000
BiomassCCS,Iron,0.000000
BiomassCCS,Lanthanum (REE),0.000000
BiomassCCS,Lead,104.000000
BiomassCCS,Lithium,0.000000
BiomassCCS,Lutetium (REE),0.000000
BiomassCCS,Magnesium,0.000000
BiomassCCS,Manganese,3761.000000
BiomassCCS,Molybdenum,8.000000
BiomassCCS,Neodymium (REE),0.000000
BiomassCCS,Nickel,1165.000000
