Year,Technolgy,Energy
1/1/2020,SolarCSP,39.366060
1/1/2020,Ocean,2.090562
1/1/2020,Stationary Li-ion batteries,24.013160
1/1/2020,EV Li-ion batteries,123.348005
1/1/2021,Oil,428.875894
1/1/2021,Coal,1899.811158
1/1/2021,CoalCCS,2.901885
1/1/2021,NaturalGas,1840.835591
1/1/2021,NaturalGasCCS,0.885062
1/1/2021,Nuclear,444.713211
1/1/2021,BiomassAndWaste,231.613184
1/1/2021,BiomassCCS,0.311321
1/1/2021,Hydro,1257.563234
1/1/2021,Geothermal,23.710265
1/1/2021,WindOnshore,830.411826
1/1/2021,WindOffshore,35.695598
1/1/2021,SolarPV,567.531919
1/1/2021,SolarCSP,50.778080
1/1/2021,Ocean,2.175816
1/1/2021,Stationary Li-ion batteries,24.013160
1/1/2021,EV Li-ion batteries,159.682654
1/1/2022,Oil,424.443223
1/1/2022,Coal,1858.079365
1/1/2022,CoalCCS,3.627357
1/1/2022,NaturalGas,1877.351265
1/1/2022,NaturalGasCCS,1.106328
1/1/2022,Nuclear,467.470289
1/1/2022,BiomassAndWaste,258.680980
1/1/2022,BiomassCCS,0.389152
1/1/2022,Hydro,1296.789918
1/1/2022,Geothermal,26.452656
1/1/2022,WindOnshore,911.586733
1/1/2022,WindOffshore,42.369498
1/1/2022,SolarPV,613.886674
1/1/2022,SolarCSP,62.190100
1/1/2022,Ocean,2.261070
1/1/2022,Stationary Li-ion batteries,34.304510
1/1/2022,EV Li-ion batteries,194.684940
1/1/2023,Oil,420.010552
1/1/2023,Coal,1816.347572
1/1/2023,CoalCCS,4.352828
1/1/2023,NaturalGas,1913.866940
1/1/2023,NaturalGasCCS,1.327593
1/1/2023,Nuclear,490.227367
1/1/2023,BiomassAndWaste,285.748776
1/1/2023,BiomassCCS,0.466982
1/1/2023,Hydro,1336.016601
1/1/2023,Geothermal,29.195047
1/1/2023,WindOnshore,992.761640
1/1/2023,WindOffshore,49.043397
1/1/2023,SolarPV,660.241429
1/1/2023,SolarCSP,73.602120
1/1/2023,Ocean,2.346324
1/1/2023,Stationary Li-ion batteries,44.595860
1/1/2023,EV Li-ion batteries,209.100034
1/1/2024,Oil,415.577881
1/1/2024,Coal,1774.615779
1/1/2024,CoalCCS,5.078299
1/1/2024,NaturalGas,1950.382614
1/1/2024,NaturalGasCCS,1.548859
1/1/2024,Nuclear,512.984445
1/1/2024,BiomassAndWaste,312.816572
1/1/2024,BiomassCCS,0.544812
1/1/2024,Hydro,1375.243285
1/1/2024,Geothermal,31.937438
1/1/2024,WindOnshore,1073.936546
1/1/2024,WindOffshore,55.717297
1/1/2024,SolarPV,706.596183
1/1/2024,SolarCSP,85.014140
1/1/2024,Ocean,2.431578
1/1/2024,Stationary Li-ion batteries,65.178560
1/1/2024,EV Li-ion batteries,215.889441
1/1/2025,Oil,411.145210
1/1/2025,Coal,1732.883986
1/1/2025,CoalCCS,5.803771
1/1/2025,NaturalGas,1986.898288
1/1/2025,NaturalGasCCS,1.770125
1/1/2025,Nuclear,535.741523
1/1/2025,BiomassAndWaste,339.884368
1/1/2025,BiomassCCS,0.622643
1/1/2025,Hydro,1414.469969
1/1/2025,Geothermal,34.679829
1/1/2025,WindOnshore,1155.111453
1/1/2025,WindOffshore,62.391196
1/1/2025,SolarPV,752.950938
1/1/2025,SolarCSP,96.426160
1/1/2025,Ocean,2.516831
1/1/2025,Stationary Li-ion batteries,85.761270
1/1/2025,EV Li-ion batteries,225.632106
1/1/2026,Oil,395.121823
1/1/2026,Coal,1664.650897
1/1/2026,CoalCCS,13.104563
1/1/2026,NaturalGas,1990.327898
1/1/2026,NaturalGasCCS,5.756117
1/1/2026,Nuclear,559.747335
1/1/2026,BiomassAndWaste,353.495535
1/1/2026,BiomassCCS,0.845149
1/1/2026,Hydro,1446.891655
1/1/2026,Geothermal,37.808909
1/1/2026,WindOnshore,1256.033014
1/1/2026,WindOffshore,74.217965
1/1/2026,SolarPV,834.828350
1/1/2026,SolarCSP,117.763188
1/1/2026,Ocean,3.395462
1/1/2026,Stationary Li-ion batteries,116.635300
1/1/2026,EV Li-ion batteries,228.355359
1/1/2027,Oil,379.098437
1/1/2027,Coal,1596.417807
1/1/2027,CoalCCS,20.405356
1/1/2027,NaturalGas,1993.757507
1/1/2027,NaturalGasCCS,9.742109
1/1/2027,Nuclear,583.753147
1/1/2027,BiomassAndWaste,367.106702
1/1/2027,BiomassCCS,1.067654
1/1/2027,Hydro,1479.313341
1/1/2027,Geothermal,40.937988
1/1/2027,WindOnshore,1356.954576
1/1/2027,WindOffshore,86.044733
1/1/2027,SolarPV,916.705761
1/1/2027,SolarCSP,139.100216
1/1/2027,Ocean,4.274093
1/1/2027,Stationary Li-ion batteries,137.218000
1/1/2027,EV Li-ion batteries,244.994866
1/1/2028,Oil,363.075051
1/1/2028,Coal,1528.184717
1/1/2028,CoalCCS,27.706148
1/1/2028,NaturalGas,1997.187117
1/1/2028,NaturalGasCCS,13.728101
1/1/2028,Nuclear,607.758959
1/1/2028,BiomassAndWaste,380.717868
1/1/2028,BiomassCCS,1.290160
1/1/2028,Hydro,1511.735027
1/1/2028,Geothermal,44.067068
1/1/2028,WindOnshore,1457.876138
1/1/2028,WindOffshore,97.871502
1/1/2028,SolarPV,998.583173
1/1/2028,SolarCSP,160.437244
1/1/2028,Ocean,5.152724
1/1/2028,Stationary Li-ion batteries,168.092100
1/1/2028,EV Li-ion batteries,255.359002
1/1/2029,Oil,347.051665
1/1/2029,Coal,1459.951627
1/1/2029,CoalCCS,35.006941
1/1/2029,NaturalGas,2000.616727
1/1/2029,NaturalGasCCS,17.714094
1/1/2029,Nuclear,631.764772
1/1/2029,BiomassAndWaste,394.329035
1/1/2029,BiomassCCS,1.512666
1/1/2029,Hydro,1544.156713
1/1/2029,Geothermal,47.196147
1/1/2029,WindOnshore,1558.797700
1/1/2029,WindOffshore,109.698270
1/1/2029,SolarPV,1080.460584
1/1/2029,SolarCSP,181.774272
1/1/2029,Ocean,6.031355
1/1/2029,Stationary Li-ion batteries,198.966100
1/1/2029,EV Li-ion batteries,270.172571
1/1/2030,Oil,331.028279
1/1/2030,Coal,1391.718538
1/1/2030,CoalCCS,42.307733
1/1/2030,NaturalGas,2004.046337
1/1/2030,NaturalGasCCS,21.700086
1/1/2030,Nuclear,655.770584
1/1/2030,BiomassAndWaste,407.940202
1/1/2030,BiomassCCS,1.735172
1/1/2030,Hydro,1576.578399
1/1/2030,Geothermal,50.325227
1/1/2030,WindOnshore,1659.719261
1/1/2030,WindOffshore,121.525039
1/1/2030,SolarPV,1162.337996
1/1/2030,SolarCSP,203.111300
1/1/2030,Ocean,6.909986
1/1/2030,Stationary Li-ion batteries,240.131600
1/1/2030,EV Li-ion batteries,279.624026
1/1/2031,Oil,318.616554
1/1/2031,Coal,1271.908926
1/1/2031,CoalCCS,61.270662
1/1/2031,NaturalGas,1989.063507
1/1/2031,NaturalGasCCS,31.857328
1/1/2031,Nuclear,674.667998
1/1/2031,BiomassAndWaste,433.189827
1/1/2031,BiomassCCS,3.264184
1/1/2031,Hydro,1599.318981
1/1/2031,Geothermal,54.201030
1/1/2031,WindOnshore,1742.388875
1/1/2031,WindOffshore,135.909817
1/1/2031,SolarPV,1284.121646
1/1/2031,SolarCSP,237.098514
1/1/2031,Ocean,9.404212
1/1/2031,Stationary Li-ion batteries,271.005600
1/1/2031,EV Li-ion batteries,304.828215
1/1/2032,Oil,306.204829
1/1/2032,Coal,1152.099314
1/1/2032,CoalCCS,80.233591
1/1/2032,NaturalGas,1974.080677
1/1/2032,NaturalGasCCS,42.014570
1/1/2032,Nuclear,693.565413
1/1/2032,BiomassAndWaste,458.439452
1/1/2032,BiomassCCS,4.793195
1/1/2032,Hydro,1622.059563
1/1/2032,Geothermal,58.076834
1/1/2032,WindOnshore,1825.058489
1/1/2032,WindOffshore,150.294596
1/1/2032,SolarPV,1405.905296
1/1/2032,SolarCSP,271.085728
1/1/2032,Ocean,11.898438
1/1/2032,Stationary Li-ion batteries,322.462400
1/1/2032,EV Li-ion batteries,315.500069
1/1/2033,Oil,293.793103
1/1/2033,Coal,1032.289702
1/1/2033,CoalCCS,99.196519
1/1/2033,NaturalGas,1959.097847
1/1/2033,NaturalGasCCS,52.171812
1/1/2033,Nuclear,712.462828
1/1/2033,BiomassAndWaste,483.689077
1/1/2033,BiomassCCS,6.322207
1/1/2033,Hydro,1644.800146
1/1/2033,Geothermal,61.952637
1/1/2033,WindOnshore,1907.728103
1/1/2033,WindOffshore,164.679374
1/1/2033,SolarPV,1527.688946
1/1/2033,SolarCSP,305.072942
1/1/2033,Ocean,14.392664
1/1/2033,Stationary Li-ion batteries,353.336400
1/1/2033,EV Li-ion batteries,353.457993
1/1/2034,Oil,281.381378
1/1/2034,Coal,912.480090
1/1/2034,CoalCCS,118.159448
1/1/2034,NaturalGas,1944.115017
1/1/2034,NaturalGasCCS,62.329055
1/1/2034,Nuclear,731.360243
1/1/2034,BiomassAndWaste,508.938702
1/1/2034,BiomassCCS,7.851218
1/1/2034,Hydro,1667.540728
1/1/2034,Geothermal,65.828440
1/1/2034,WindOnshore,1990.397717
1/1/2034,WindOffshore,179.064153
1/1/2034,SolarPV,1649.472596
1/1/2034,SolarCSP,339.060156
1/1/2034,Ocean,16.886890
1/1/2034,Stationary Li-ion batteries,404.793200
1/1/2034,EV Li-ion batteries,378.259626
1/1/2035,Oil,268.969653
1/1/2035,Coal,792.670478
1/1/2035,CoalCCS,137.122377
1/1/2035,NaturalGas,1929.132187
1/1/2035,NaturalGasCCS,72.486297
1/1/2035,Nuclear,750.257657
1/1/2035,BiomassAndWaste,534.188327
1/1/2035,BiomassCCS,9.380230
1/1/2035,Hydro,1690.281310
1/1/2035,Geothermal,69.704243
1/1/2035,WindOnshore,2073.067331
1/1/2035,WindOffshore,193.448931
1/1/2035,SolarPV,1771.256246
1/1/2035,SolarCSP,373.047370
1/1/2035,Ocean,19.381116
1/1/2035,Stationary Li-ion batteries,456.250000
1/1/2035,EV Li-ion batteries,411.289039
1/1/2036,Oil,257.888663
1/1/2036,Coal,712.801411
1/1/2036,CoalCCS,163.030442
1/1/2036,NaturalGas,1900.305056
1/1/2036,NaturalGasCCS,87.135509
1/1/2036,Nuclear,768.461887
1/1/2036,BiomassAndWaste,568.813268
1/1/2036,BiomassCCS,14.302374
1/1/2036,Hydro,1724.888212
1/1/2036,Geothermal,73.952364
1/1/2036,WindOnshore,2143.730750
1/1/2036,WindOffshore,208.219911
1/1/2036,SolarPV,1925.083132
1/1/2036,SolarCSP,411.466240
1/1/2036,Ocean,23.983266
1/1/2036,Stationary Li-ion batteries,528.289400
1/1/2036,EV Li-ion batteries,432.851355
1/1/2037,Oil,246.807673
1/1/2037,Coal,632.932344
1/1/2037,CoalCCS,188.938508
1/1/2037,NaturalGas,1871.477925
1/1/2037,NaturalGasCCS,101.784721
1/1/2037,Nuclear,786.666116
1/1/2037,BiomassAndWaste,603.438210
1/1/2037,BiomassCCS,19.224519
1/1/2037,Hydro,1759.495113
1/1/2037,Geothermal,78.200484
1/1/2037,WindOnshore,2214.394170
1/1/2037,WindOffshore,222.990890
1/1/2037,SolarPV,2078.910019
