Year,Material,Tons
1/1/2005,Yetterbium (REE),0.000000
1/1/2005,Yttrium (REE),3.613779
1/1/2005,Zinc,75170.943628
1/1/2005,Zirconium,112.027377
1/1/2006,Aluminum,238457.130055
1/1/2006,Antimony,0.000000
1/1/2006,Arsenic,0.000000
1/1/2006,Baryte,0.000000
1/1/2006,Beryllium,0.000000
1/1/2006,Bismuth,0.000000
1/1/2006,Borate,0.000000
1/1/2006,Boron,13.780971
1/1/2006,Cadmium,6.607086
1/1/2006,Cerium (REE),0.000000
1/1/2006,Chromium,63450.993943
1/1/2006,Cobalt,358.767134
1/1/2006,Copper,92574.871513
1/1/2006,Dysprosium (REE),7.223166
1/1/2006,Erbium (REE),0.000000
1/1/2006,Europium (REE),0.000000
1/1/2006,Fluorspar,0.000000
1/1/2006,Gadolinium (REE),0.000000
1/1/2006,Gallium,0.935913
1/1/2006,Germanium,0.000000
1/1/2006,Gold,0.000000
1/1/2006,Graphite,0.000000
1/1/2006,Hafnium,1.487610
1/1/2006,Helium,0.000000
1/1/2006,Holmium (REE),0.000000
1/1/2006,Indium,4.502236
1/1/2006,Iridium,0.000000
1/1/2006,Iron,23669.828256
1/1/2006,Lanthanum (REE),0.000000
1/1/2006,Lead,7579.761825
1/1/2006,Lithium,175.220023
1/1/2006,Lutetium (REE),0.000000
1/1/2006,Magnesium,2362.061525
1/1/2006,Manganese,7280.952194
1/1/2006,Molybdenum,12042.422382
1/1/2006,Neodymium (REE),25.086909
1/1/2006,Nickel,33166.649129
1/1/2006,Niobium,552.267544
1/1/2006,Palladium,0.000000
1/1/2006,Phosphate rock,0.000000
1/1/2006,Phosphorus,0.000000
1/1/2006,Platinum,0.000000
1/1/2006,Praseodymium (REE),41.365520
1/1/2006,Rhenium,0.000000
1/1/2006,Rhodium,0.000000
1/1/2006,Ruthenium,0.000000
1/1/2006,Samarium (REE),0.000000
1/1/2006,Scandium (REE),0.000000
1/1/2006,Selenium,3.004852
1/1/2006,Silicon,8104.963615
1/1/2006,Silver,49.725089
1/1/2006,Steel,15970611.137163
1/1/2006,Tantalum,12.488643
1/1/2006,Tellurium,5.412973
1/1/2006,Terbium (REE),13.779877
1/1/2006,Thulium,0.000000
1/1/2006,Tin,1704.423942
1/1/2006,Titanium,0.000000
1/1/2006,Tungsten,7.439364
1/1/2006,Vanadium,1244.413110
1/1/2006,Yetterbium (REE),0.000000
1/1/2006,Yttrium (REE),1.487594
1/1/2006,Zinc,87291.228819
1/1/2006,Zirconium,46.115903
1/1/2007,Aluminum,259929.922935
1/1/2007,Antimony,0.000000
1/1/2007,Arsenic,0.000000
1/1/2007,Baryte,0.000000
1/1/2007,Beryllium,0.000000
1/1/2007,Bismuth,0.000000
1/1/2007,Borate,0.000000
1/1/2007,Boron,18.644387
1/1/2007,Cadmium,9.082152
1/1/2007,Cerium (REE),0.000000
1/1/2007,Chromium,73363.733198
1/1/2007,Cobalt,497.266445
1/1/2007,Copper,101466.418948
1/1/2007,Dysprosium (REE),10.128192
1/1/2007,Erbium (REE),0.000000
1/1/2007,Europium (REE),0.000000
1/1/2007,Fluorspar,0.000000
1/1/2007,Gadolinium (REE),0.000000
1/1/2007,Gallium,1.688159
1/1/2007,Germanium,0.000000
1/1/2007,Gold,0.000000
1/1/2007,Graphite,0.000000
1/1/2007,Hafnium,-0.000452
1/1/2007,Helium,0.000000
1/1/2007,Holmium (REE),0.000000
1/1/2007,Indium,2.753459
1/1/2007,Iridium,0.000000
1/1/2007,Iron,33259.265517
1/1/2007,Lanthanum (REE),0.000000
1/1/2007,Lead,8010.463435
1/1/2007,Lithium,245.690324
1/1/2007,Lutetium (REE),0.000000
1/1/2007,Magnesium,2553.817353
1/1/2007,Manganese,8342.173128
1/1/2007,Molybdenum,14097.866670
1/1/2007,Neodymium (REE),35.176407
1/1/2007,Nickel,37749.814665
1/1/2007,Niobium,735.343398
1/1/2007,Palladium,0.000000
