Year,Material,USD Low, USD Med, USD High
1/1/2004,Indium,2489673.243503,3112091.554378,3734509.865254
1/1/2004,Iridium,0.000000,0.000000,0.000000
1/1/2004,Iron,1198958.555003,1498698.193754,1798437.832505
1/1/2004,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2004,Lead,8197909.114414,10247386.393017,12296863.671621
1/1/2004,Lithium,1294799.065229,1618498.831537,1942198.597844
1/1/2004,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2004,Magnesium,6248445.516362,7810556.895452,9372668.274543
1/1/2004,Manganese,20514.762691,25643.453364,30772.144037
1/1/2004,Molybdenum,143852842.798331,179816053.497914,215779264.197496
1/1/2004,Neodymium (REE),316395.881953,917993.685665,1479484.969131
1/1/2004,Nickel,67171140.623272,83963925.779090,100756710.934907
1/1/2004,Niobium,6096234.565164,7620293.206454,9144351.847745
1/1/2004,Palladium,0.000000,0.000000,0.000000
1/1/2004,Phosphate rock,0.000000,0.000000,0.000000
1/1/2004,Phosphorus,0.000000,0.000000,0.000000
1/1/2004,Platinum,0.000000,0.000000,0.000000
1/1/2004,Praseodymium (REE),446613.196627,2050592.591372,2578872.201097
1/1/2004,Rhenium,0.000000,0.000000,0.000000
1/1/2004,Rhodium,0.000000,0.000000,0.000000
1/1/2004,Ruthenium,0.000000,0.000000,0.000000
1/1/2004,Samarium (REE),0.000000,0.000000,0.000000
1/1/2004,Scandium (REE),0.000000,0.000000,0.000000
1/1/2004,Selenium,73782.700257,92228.375321,110674.050386
1/1/2004,Silicon,1067168.836119,1333961.045149,1600753.254179
1/1/2004,Silver,27168352.907616,33960441.134519,40752529.361423
1/1/2004,Steel,4732188005.269141,5915235006.586426,7098282007.903711
1/1/2004,Tantalum,-1414.001135,-1767.501419,-2121.001703
1/1/2004,Tellurium,218232.157323,272790.196654,327348.235984
1/1/2004,Terbium (REE),4590424.568917,5695526.779952,7310676.165312
1/1/2004,Thulium,0.000000,0.000000,0.000000
1/1/2004,Tin,16845191.230181,21056489.037726,25267786.845272
1/1/2004,Titanium,0.000000,0.000000,0.000000
1/1/2004,Tungsten,502779.966934,628474.958668,754169.950401
1/1/2004,Vanadium,16061074.158974,20076342.698717,24091611.238461
1/1/2004,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2004,Yttrium (REE),137331.790974,186212.597930,279318.896896
1/1/2004,Zinc,115848514.672496,144810643.340620,173772772.008744
1/1/2004,Zirconium,1847230.221184,2309037.776480,2770845.331776
1/1/2005,Aluminum,329148610.759792,411435763.449740,493722916.139688
1/1/2005,Antimony,0.000000,0.000000,0.000000
1/1/2005,Arsenic,0.000000,0.000000,0.000000
1/1/2005,Baryte,0.000000,0.000000,0.000000
1/1/2005,Beryllium,0.000000,0.000000,0.000000
1/1/2005,Bismuth,0.000000,0.000000,0.000000
1/1/2005,Borate,0.000000,0.000000,0.000000
1/1/2005,Boron,3722.542998,4653.178747,5583.814496
1/1/2005,Cadmium,18448.878603,23061.098254,27673.317905
1/1/2005,Cerium (REE),0.000000,0.000000,0.000000
1/1/2005,Chromium,517864690.288953,647330862.861191,776797035.433430
1/1/2005,Cobalt,7393980.801838,9242476.002298,11090971.202757
1/1/2005,Copper,379901776.049607,474877220.062009,569852664.074411
1/1/2005,Dysprosium (REE),524209.859028,1354641.318874,2076078.649616
1/1/2005,Erbium (REE),0.000000,0.000000,0.000000
1/1/2005,Europium (REE),0.000000,0.000000,0.000000
1/1/2005,Fluorspar,0.000000,0.000000,0.000000
1/1/2005,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2005,Gallium,113426.322973,141782.903716,170139.484459
1/1/2005,Germanium,0.000000,0.000000,0.000000
1/1/2005,Gold,0.000000,0.000000,0.000000
1/1/2005,Graphite,0.000000,0.000000,0.000000
1/1/2005,Hafnium,2399554.147423,2999442.684278,3599331.221134
1/1/2005,Helium,0.000000,0.000000,0.000000
1/1/2005,Holmium (REE),0.000000,0.000000,0.000000
1/1/2005,Indium,2104745.457248,2630931.821560,3157118.185872
1/1/2005,Iridium,0.000000,0.000000,0.000000
1/1/2005,Iron,1515197.585553,1893996.981941,2272796.378330
1/1/2005,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2005,Lead,7282949.680406,9103687.100507,10924424.520609
1/1/2005,Lithium,1309402.895396,1636753.619246,1964104.343095
1/1/2005,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2005,Magnesium,5023103.513323,6278879.391654,7534655.269985
1/1/2005,Manganese,27970.317181,34962.896476,41955.475771
1/1/2005,Molybdenum,213176766.448823,266470958.061028,319765149.673234
1/1/2005,Neodymium (REE),319964.460159,928347.588630,1496171.841870
1/1/2005,Nickel,632482314.734231,790602893.417789,948723472.101347
1/1/2005,Niobium,9688495.748498,12110619.685623,14532743.622747
1/1/2005,Palladium,0.000000,0.000000,0.000000
1/1/2005,Phosphate rock,0.000000,0.000000,0.000000
1/1/2005,Phosphorus,0.000000,0.000000,0.000000
1/1/2005,Platinum,0.000000,0.000000,0.000000
1/1/2005,Praseodymium (REE),648254.934705,2976416.228776,3743209.208685
1/1/2005,Rhenium,0.000000,0.000000,0.000000
1/1/2005,Rhodium,0.000000,0.000000,0.000000
1/1/2005,Ruthenium,0.000000,0.000000,0.000000
1/1/2005,Samarium (REE),0.000000,0.000000,0.000000
1/1/2005,Scandium (REE),0.000000,0.000000,0.000000
1/1/2005,Selenium,107044.228305,133805.285381,160566.342457
1/1/2005,Silicon,1501728.958469,1877161.198086,2252593.437703
1/1/2005,Silver,28440385.497274,35550481.871592,42660578.245910
1/1/2005,Steel,5396950114.467802,6746187643.084754,8095425171.701703
1/1/2005,Tantalum,3241088.876951,4051361.096188,4861633.315426
1/1/2005,Tellurium,311225.910753,389032.388442,466838.866130
1/1/2005,Terbium (REE),6664416.528733,8268813.100466,10613700.397613
1/1/2005,Thulium,0.000000,0.000000,0.000000
1/1/2005,Tin,24014659.282136,30018324.102669,36021988.923203
1/1/2005,Titanium,0.000000,0.000000,0.000000
1/1/2005,Tungsten,390302.801903,487878.502378,585454.202854
1/1/2005,Vanadium,23250369.709807,29062962.137258,34875554.564710
1/1/2005,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2005,Yttrium (REE),106606.468133,144551.143232,216826.714848
1/1/2005,Zinc,160418762.727317,200523453.409146,240628144.090975
1/1/2005,Zirconium,1433950.430267,1792438.037834,2150925.645401
1/1/2006,Aluminum,420562071.134951,525702588.918689,630843106.702426
1/1/2006,Antimony,0.000000,0.000000,0.000000
1/1/2006,Arsenic,0.000000,0.000000,0.000000
1/1/2006,Baryte,0.000000,0.000000,0.000000
1/1/2006,Beryllium,0.000000,0.000000,0.000000
1/1/2006,Bismuth,0.000000,0.000000,0.000000
1/1/2006,Borate,0.000000,0.000000,0.000000
1/1/2006,Boron,4156.340983,5195.426229,6234.511475
1/1/2006,Cadmium,13742.738819,17178.423523,20614.108228
1/1/2006,Cerium (REE),0.000000,0.000000,0.000000
1/1/2006,Chromium,558368746.697640,697960933.372051,837553120.046460
1/1/2006,Cobalt,10124006.695248,12655008.369060,15186010.042872
1/1/2006,Copper,448999235.820252,561249044.775315,673498853.730378
1/1/2006,Dysprosium (REE),729539.749877,1885246.284334,2889266.336145
1/1/2006,Erbium (REE),0.000000,0.000000,0.000000
1/1/2006,Europium (REE),0.000000,0.000000,0.000000
1/1/2006,Fluorspar,0.000000,0.000000,0.000000
1/1/2006,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2006,Gallium,112309.602475,140387.003094,168464.403713
1/1/2006,Germanium,0.000000,0.000000,0.000000
1/1/2006,Gold,0.000000,0.000000,0.000000
1/1/2006,Graphite,0.000000,0.000000,0.000000
1/1/2006,Hafnium,987772.896567,1234716.120709,1481659.344851
1/1/2006,Helium,0.000000,0.000000,0.000000
1/1/2006,Holmium (REE),0.000000,0.000000,0.000000
1/1/2006,Indium,1080536.662286,1350670.827857,1620804.993429
1/1/2006,Iridium,0.000000,0.000000,0.000000
1/1/2006,Iron,2123656.991093,2654571.238866,3185485.486639
1/1/2006,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2006,Lead,12766701.990557,15958377.488197,19150052.985836
1/1/2006,Lithium,1822288.238848,2277860.298561,2733432.358273
1/1/2006,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2006,Magnesium,9789913.573445,12237391.966807,14684870.360168
1/1/2006,Manganese,37161.979997,46452.474996,55742.969995
1/1/2006,Molybdenum,250482385.553850,313102981.942312,375723578.330775
1/1/2006,Neodymium (REE),445292.640368,1291975.829801,2082213.473272
1/1/2006,Nickel,371466470.249312,464333087.811641,557199705.373969
1/1/2006,Niobium,10161722.814142,12702153.517677,15242584.221213
1/1/2006,Palladium,0.000000,0.000000,0.000000
1/1/2006,Phosphate rock,0.000000,0.000000,0.000000
1/1/2006,Phosphorus,0.000000,0.000000,0.000000
1/1/2006,Platinum,0.000000,0.000000,0.000000
1/1/2006,Praseodymium (REE),723896.597660,3323719.521255,4179985.782487
1/1/2006,Rhenium,0.000000,0.000000,0.000000
1/1/2006,Rhodium,0.000000,0.000000,0.000000
1/1/2006,Ruthenium,0.000000,0.000000,0.000000
1/1/2006,Samarium (REE),0.000000,0.000000,0.000000
1/1/2006,Scandium (REE),0.000000,0.000000,0.000000
1/1/2006,Selenium,105991.955847,132489.944809,158987.933771
1/1/2006,Silicon,1443750.785119,1804688.481399,2165626.177679
1/1/2006,Silver,20719298.754520,25899123.443151,31078948.131781
1/1/2006,Steel,6554338810.691785,8192923513.364731,9831508216.037678
1/1/2006,Tantalum,1618528.189905,2023160.237381,2427792.284857
1/1/2006,Tellurium,303126.463133,378908.078917,454689.694700
1/1/2006,Terbium (REE),7441133.468935,9232517.452197,11850694.043119
1/1/2006,Thulium,0.000000,0.000000,0.000000
1/1/2006,Tin,25551496.559348,31939370.699186,38327244.839023
1/1/2006,Titanium,0.000000,0.000000,0.000000
1/1/2006,Tungsten,160690.258998,200862.823747,241035.388497
1/1/2006,Vanadium,25898008.863939,32372511.079924,38847013.295909
1/1/2006,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2006,Yttrium (REE),43884.018443,59503.753821,89255.630732
1/1/2006,Zinc,186284091.277138,232855114.096423,279426136.915707
1/1/2006,Zirconium,590283.562286,737854.452857,885425.343429
1/1/2007,Aluminum,458433206.482162,573041508.102702,687649809.723243
1/1/2007,Antimony,0.000000,0.000000,0.000000
1/1/2007,Arsenic,0.000000,0.000000,0.000000
1/1/2007,Baryte,0.000000,0.000000,0.000000
1/1/2007,Beryllium,0.000000,0.000000,0.000000
1/1/2007,Bismuth,0.000000,0.000000,0.000000
1/1/2007,Borate,0.000000,0.000000,0.000000
1/1/2007,Boron,5623.147197,7028.933996,8434.720796
1/1/2007,Cadmium,18890.875304,23613.594131,28336.312957
1/1/2007,Cerium (REE),0.000000,0.000000,0.000000
1/1/2007,Chromium,645600852.146417,807001065.183021,968401278.219625
1/1/2007,Cobalt,14032302.129220,17540377.661525,21048453.193830
1/1/2007,Copper,492124307.867548,615155384.834435,738186461.801322
1/1/2007,Dysprosium (REE),1022947.346704,2643457.994947,4051276.620609
1/1/2007,Erbium (REE),0.000000,0.000000,0.000000
1/1/2007,Europium (REE),0.000000,0.000000,0.000000
1/1/2007,Fluorspar,0.000000,0.000000,0.000000
1/1/2007,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2007,Gallium,202579.045502,253223.806878,303868.568253
1/1/2007,Germanium,0.000000,0.000000,0.000000
1/1/2007,Gold,0.000000,0.000000,0.000000
1/1/2007,Graphite,0.000000,0.000000,0.000000
1/1/2007,Hafnium,-300.446457,-375.558071,-450.669686
1/1/2007,Helium,0.000000,0.000000,0.000000
1/1/2007,Holmium (REE),0.000000,0.000000,0.000000
1/1/2007,Indium,660830.221429,826037.776786,991245.332143
1/1/2007,Iridium,0.000000,0.000000,0.000000
1/1/2007,Iron,2984021.302174,3730026.627717,4476031.953261
1/1/2007,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2007,Lead,13492138.915002,16865173.643753,20238208.372504
1/1/2007,Lithium,2555179.370521,3193974.213151,3832769.055781
1/1/2007,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2007,Magnesium,10584673.983386,13230842.479233,15877010.975079
1/1/2007,Manganese,42578.451646,53223.064557,63867.677469
1/1/2007,Molybdenum,293235626.730441,366544533.413051,439853440.095661
1/1/2007,Neodymium (REE),624381.228094,1811584.971654,2919641.798976
1/1/2007,Nickel,422797924.242779,528497405.303474,634196886.364168
1/1/2007,Niobium,13530318.525212,16912898.156515,20295477.787818
1/1/2007,Palladium,0.000000,0.000000,0.000000
1/1/2007,Phosphate rock,0.000000,0.000000,0.000000
1/1/2007,Phosphorus,0.000000,0.000000,0.000000
1/1/2007,Platinum,0.000000,0.000000,0.000000
1/1/2007,Praseodymium (REE),979364.754602,4496683.316130,5655131.911573
1/1/2007,Rhenium,0.000000,0.000000,0.000000
1/1/2007,Rhodium,0.000000,0.000000,0.000000
1/1/2007,Ruthenium,0.000000,0.000000,0.000000
1/1/2007,Samarium (REE),0.000000,0.000000,0.000000
1/1/2007,Scandium (REE),0.000000,0.000000,0.000000
1/1/2007,Selenium,191184.483958,238980.604947,286776.725937
1/1/2007,Silicon,2529920.972439,3162401.215549,3794881.458659
1/1/2007,Silver,27536334.081969,34420417.602461,41304501.122953
1/1/2007,Steel,6411954998.641811,8014943748.302264,9617932497.962719
1/1/2007,Tantalum,1666536.243029,2083170.303786,2499804.364543
1/1/2007,Tellurium,538174.431550,672718.039438,807261.647326
1/1/2007,Terbium (REE),10066931.730204,12490452.331920,16032520.903659
1/1/2007,Thulium,0.000000,0.000000,0.000000
1/1/2007,Tin,37172685.763261,46465857.204077,55759028.644892
1/1/2007,Titanium,0.000000,0.000000,0.000000
1/1/2007,Tungsten,-855.186451,-1068.983064,-1282.779677
1/1/2007,Vanadium,35017806.284116,43772257.855145,52526709.426174
1/1/2007,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2007,Yttrium (REE),0.000000,0.000000,0.000000
1/1/2007,Zinc,247254436.907928,309068046.134910,370881655.361892
1/1/2007,Zirconium,-179.543907,-224.429884,-269.315860
1/1/2008,Aluminum,724248130.161095,905310162.701369,1086372195.241642
1/1/2008,Antimony,0.000000,0.000000,0.000000
1/1/2008,Arsenic,0.000000,0.000000,0.000000
1/1/2008,Baryte,0.000000,0.000000,0.000000
1/1/2008,Beryllium,0.000000,0.000000,0.000000
